experiment,run,ensemble,leader_before,leader_after,leadership_changed,injection_time,recovery_time,recovery_seconds,quorum_lost,notes
kill_leader,1,3-node,zookeeper-2,zookeeper-1,yes,2026-04-10 15:08:09.491,2026-04-10 15:09:13.675,64.2,no,new leader elected during fault: zookeeper-1 (election_latency=3.791s)
kill_leader,2,3-node,zookeeper-1,zookeeper-2,yes,2026-04-10 15:10:46.820,2026-04-10 15:11:50.881,64.1,no,new leader elected during fault: zookeeper-2 (election_latency=3.359s)
kill_leader,3,3-node,zookeeper-2,zookeeper-1,yes,2026-04-10 15:13:23.513,2026-04-10 15:14:31.170,67.7,no,new leader elected during fault: zookeeper-1 (election_latency=3.65s)
network_partition,1,3-node,zookeeper-1,zookeeper-2,yes,2026-04-10 15:16:04.844,2026-04-10 15:17:55.390,110.5,partial (isolated leader loses quorum),new leader among followers: zookeeper-2 (election_latency=9.205s)
network_partition,2,3-node,zookeeper-2,zookeeper-1,yes,2026-04-10 15:19:29.798,2026-04-10 15:20:50.034,80.2,partial (isolated leader loses quorum),new leader among followers: zookeeper-1 (election_latency=10.04s)
network_partition,3,3-node,zookeeper-1,zookeeper-2,yes,2026-04-10 15:22:24.702,2026-04-10 15:24:14.915,110.2,partial (isolated leader loses quorum),new leader among followers: zookeeper-2 (election_latency=5.814s)
cascading_failure,1,3-node,zookeeper-2,zookeeper-1,yes,2026-04-10 15:25:48.984,2026-04-10 15:27:12.696,83.7,no,time_between_kills=17.4s (target=10s); quorum_lost=no (pod restarted faster than ZK session timeout); post-recovery leader: zookeeper-1
cascading_failure,2,3-node,zookeeper-1,zookeeper-2,yes,2026-04-10 15:28:46.878,2026-04-10 15:30:05.061,78.2,yes,time_between_kills=13.8s (target=10s); quorum_lost=yes; post-recovery leader: zookeeper-2
cascading_failure,3,3-node,zookeeper-2,zookeeper-1,yes,2026-04-10 15:31:38.080,2026-04-10 15:33:09.692,91.6,yes,time_between_kills=13.1s (target=10s); quorum_lost=yes; post-recovery leader: zookeeper-1
threeway_isolation,1,3-node,zookeeper-1,zookeeper-2,yes,2026-04-10 15:34:44.029,2026-04-10 15:36:38.076,114.0,yes,3-way isolation (1+1+1): no node had majority; all_nodes_lost_quorum=yes; post-recovery leader: zookeeper-2
threeway_isolation,2,3-node,zookeeper-2,zookeeper-2,no,2026-04-10 15:38:11.764,2026-04-10 15:39:32.131,80.4,yes,3-way isolation (1+1+1): no node had majority; all_nodes_lost_quorum=yes; post-recovery leader: zookeeper-2
threeway_isolation,3,3-node,zookeeper-2,zookeeper-2,no,2026-04-10 15:41:04.802,2026-04-10 15:42:55.196,110.4,yes,3-way isolation (1+1+1): no node had majority; all_nodes_lost_quorum=yes; post-recovery leader: zookeeper-2
5node_majority_partition,1,5-node,zookeeper5-2,zookeeper5-2,partial (group-level change possible),2026-04-10 15:45:02.836,2026-04-10 15:46:27.085,84.2,group_B_only (group_A=True),Group A (3/5 majority) preserved_quorum=True; Group B (2/5 minority) lost_quorum=True; group_a_leader_during_partition=zookeeper5-2; post-recovery leader: zookeeper5-2
5node_majority_partition,2,5-node,zookeeper5-2,zookeeper5-2,partial (group-level change possible),2026-04-10 15:48:04.861,2026-04-10 15:49:29.773,84.9,group_B_only (group_A=True),Group A (3/5 majority) preserved_quorum=True; Group B (2/5 minority) lost_quorum=True; group_a_leader_during_partition=zookeeper5-2; post-recovery leader: zookeeper5-2
5node_majority_partition,3,5-node,zookeeper5-2,zookeeper5-2,partial (group-level change possible),2026-04-10 15:51:44.006,2026-04-10 15:53:22.669,98.7,group_B_only (group_A=True),Group A (3/5 majority) preserved_quorum=True; Group B (2/5 minority) lost_quorum=True; group_a_leader_during_partition=zookeeper5-2; post-recovery leader: zookeeper5-2
5node_threeway_partition,1,5-node,zookeeper5-2,zookeeper5-4,yes,2026-04-10 15:54:56.782,2026-04-10 15:56:36.727,99.9,yes (all groups),2+2+1 three-way partition: no group had 3/5 majority; all_nodes_lost_quorum=True; spurious_leader_claims_observed=True; post-recovery leader: zookeeper5-4
5node_threeway_partition,2,5-node,zookeeper5-4,zookeeper5-4,no,2026-04-10 15:58:14.638,2026-04-10 15:59:41.739,87.1,yes (all groups),2+2+1 three-way partition: no group had 3/5 majority; all_nodes_lost_quorum=True; spurious_leader_claims_observed=True; post-recovery leader: zookeeper5-4
5node_threeway_partition,3,5-node,zookeeper5-4,zookeeper5-3,yes,2026-04-10 16:01:19.678,2026-04-10 16:02:42.208,82.5,yes (all groups),2+2+1 three-way partition: no group had 3/5 majority; all_nodes_lost_quorum=True; spurious_leader_claims_observed=True; post-recovery leader: zookeeper5-3
leader_minority_partition,1,5-node,zookeeper5-4,zookeeper5-1,yes,2026-04-20 21:08:12.422,2026-04-20 21:10:02.085,109.7,"minority_only (minority_pods=['zookeeper5-4', 'zookeeper5-0'])","minority=['zookeeper5-4', 'zookeeper5-0'], majority=['zookeeper5-1', 'zookeeper5-2', 'zookeeper5-3']; B-A=4.87s (majority leader election latency from partition inject); D-A=6.358s (minority quorum loss detection latency); F-E=33.3s (recovery latency after partition healed); old_leader_stepped_down=True; split_brain_window=True; new_leader=zookeeper5-1"
leader_minority_partition,2,5-node,zookeeper5-1,zookeeper5-4,yes,2026-04-20 21:11:32.765,2026-04-20 21:12:49.690,76.9,"minority_only (minority_pods=['zookeeper5-1', 'zookeeper5-0'])","minority=['zookeeper5-1', 'zookeeper5-0'], majority=['zookeeper5-2', 'zookeeper5-3', 'zookeeper5-4']; B-A=5.103s (majority leader election latency from partition inject); D-A=5.103s (minority quorum loss detection latency); F-E=0.5s (recovery latency after partition healed); old_leader_stepped_down=True; split_brain_window=False; new_leader=zookeeper5-4"
leader_minority_partition,3,5-node,zookeeper5-4,zookeeper5-1,yes,2026-04-20 21:14:20.320,2026-04-20 21:16:08.776,108.5,"minority_only (minority_pods=['zookeeper5-4', 'zookeeper5-0'])","minority=['zookeeper5-4', 'zookeeper5-0'], majority=['zookeeper5-1', 'zookeeper5-2', 'zookeeper5-3']; B-A=4.848s (majority leader election latency from partition inject); D-A=6.289s (minority quorum loss detection latency); F-E=33.2s (recovery latency after partition healed); old_leader_stepped_down=True; split_brain_window=True; new_leader=zookeeper5-1"
